epoch,phase,train_loss,valid_loss,valid_accuracy,valid_macro_f1,valid_balanced_accuracy,lr
1,head,0.3013534064944125,0.2233420196904566,0.8502772643253235,0.8497542632485564,0.8494428188837608,0.001
2,head,0.1464964291535521,0.17783232160872026,0.8718422674060382,0.871979514367267,0.8709188036736695,0.001
3,head,0.12684560811668336,0.18452896402938748,0.8693776956253851,0.8687292354818655,0.8687448887475016,0.001
4,head,0.1216637905111633,0.14209128424148829,0.8866296980899568,0.8866090468970349,0.8863167853800282,0.001
5,head,0.11475732406876991,0.13338887775620964,0.8964879852125693,0.8962508420957154,0.8959536602828051,0.001
6,head,0.10559300116043731,0.12446671392474822,0.9026494146642021,0.9027946723760853,0.9023574029026069,0.001
7,head,0.1001500341242035,0.13369101243958942,0.8989525569932224,0.8985223543314786,0.898701098278487,0.001
8,head,0.10475461434612524,0.14884846863404,0.8897104128157732,0.8889299245823994,0.8886454349996058,0.001
9,head,0.09828533113734869,0.14317847420338103,0.8866296980899568,0.8861164574939921,0.886027967480528,0.001
10,head,0.09282373359844825,0.1413669145468953,0.893407270486753,0.8928982759015694,0.8923245136272525,0.0005
11,head,0.09552218868178725,0.13315017501785156,0.8971041281577325,0.8969569508495592,0.8963054321412434,0.0005
12,head,0.09557698152003496,0.1374773386323874,0.8964879852125693,0.8959984466911928,0.8953258653808518,0.0005
13,finetune,0.08914977468259894,0.11762999991360691,0.8977202711028959,0.897121705500717,0.8972060866946048,3e-05
14,finetune,0.06720221746783493,0.0961147280634012,0.9149722735674677,0.9151984140958238,0.9142960981707224,3e-05
15,finetune,0.05900949121770002,0.10490694772698862,0.906962415280345,0.9066505343348155,0.9061922286350731,3e-05
16,finetune,0.05526380864457248,0.08068668830466129,0.9254467036352434,0.9260747493879584,0.9253259959504929,3e-05
17,finetune,0.05265810931135579,0.07974324648074442,0.922365988909427,0.9225489734483958,0.9221759031223344,3e-05
18,finetune,0.04033278717606199,0.07130354682978383,0.929143561306223,0.9296264150387087,0.9293487649110604,3e-05
19,finetune,0.045281087333607854,0.05557888890285659,0.9390018484288355,0.9398108777004623,0.9395547219005265,3e-05
20,finetune,0.036632233855125075,0.046288679688776264,0.9470117067159581,0.9478251777600872,0.9479140846992145,3e-05
21,finetune,0.03851563805473566,0.04124839923413879,0.9513247073321011,0.9522816428619352,0.9521240311278024,3e-05
22,finetune,0.03598194009723822,0.047345645539363046,0.9494762784966112,0.9504114656626725,0.9500982148268268,3e-05
23,finetune,0.035577691191554656,0.043944873659970345,0.9476278496611213,0.9484208819973393,0.9488639172048963,3e-05
24,finetune,0.029635242278285033,0.04644979395991514,0.9420825631546519,0.9431728544373549,0.9425075916706943,3e-05
25,finetune,0.030672256964613565,0.039858163268766324,0.9488601355514479,0.9499070076371513,0.9500109046517581,3e-05
26,finetune,0.026652177447507933,0.03850252567747545,0.9574861367837338,0.9582551541382884,0.9583146851019473,3e-05
27,finetune,0.02811987378046286,0.04241617400096271,0.9488601355514479,0.9495310252309072,0.9494526109262882,3e-05
28,finetune,0.027610817154613835,0.03776825957786396,0.9550215650030807,0.9560446728808938,0.9562125362386649,3e-05
29,finetune,0.025901176635535678,0.04100043445252404,0.9494762784966112,0.9501480304470963,0.9503699532039004,3e-05
30,finetune,0.025979111863544905,0.03085280052520008,0.9574861367837338,0.9582436769028841,0.958396666366277,3e-05
31,finetune,0.027964942965021965,0.03729263252015377,0.9537892791127541,0.9544779274718527,0.9547929251942975,3e-05
32,finetune,0.022349616791063284,0.041570499196829196,0.9500924214417745,0.9505278768573924,0.9513512757980495,3e-05
33,finetune,0.021192066557045603,0.03191469096593393,0.9568699938385705,0.9575832622063627,0.9579889973912007,3e-05
34,finetune,0.026360996399719103,0.037971363634114685,0.9562538508934073,0.9569097857233508,0.957204455244826,1.5e-05
35,finetune,0.022172195623757458,0.03766990205636928,0.9513247073321011,0.9521999337232101,0.9519929868303226,1.5e-05
36,finetune,0.02124059079184809,0.03360799200732436,0.955637707948244,0.9563511860818853,0.9567428983455425,1.5e-05
37,finetune,0.020561998916869353,0.03405249285019365,0.9550215650030807,0.9557656021770912,0.9560723996884573,1.5e-05
38,finetune,0.019624708076345095,0.02940185814344491,0.9605668515095502,0.9615685647532871,0.9617290503619328,1.5e-05
39,finetune,0.023578629508197432,0.03410587224447992,0.9568699938385705,0.9578269377805626,0.9579749507211395,1.5e-05
40,finetune,0.019094207310031003,0.0357857689891162,0.9550215650030807,0.9558891695759282,0.9563356719806821,1.5e-05
41,finetune,0.019589111321081775,0.028817095648977647,0.9605668515095502,0.9615279890615666,0.9617308061956905,1.5e-05
42,finetune,0.01633952547640695,0.034649141320199285,0.9568699938385705,0.9576383963450021,0.9577922169434261,1.5e-05
